DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.40889,-57.7325,34.2
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.40715,-57.66041,43.5
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.40621,-57.71378,13.4
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.40584,-57.65107,94.7
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,15,0.0,1.0,-9.40453,-57.64178,5.8
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.40249,-57.75242,14.2
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.40115,-57.74305,49.3
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.39981,-57.73367,30.4
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.39951,-57.66705,44.2
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.39818,-57.65776,161.1
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.39685,-57.64848,105.6
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.39181,-57.67768,146.3
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.39047,-57.66836,67.1
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.38277,-57.67902,17.9
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,11,0.0,1.0,-9.38143,-57.66968,25.0
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.36601,-57.69099,38.7
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.36468,-57.68163,26.4
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.35697,-57.69229,252.6
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.35564,-57.68294,287.1
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.35432,-57.6736,83.3
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,14,0.0,1.0,-9.34944,-57.7698,27.7
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,14,0.0,1.0,-9.34925,-57.70298,44.4
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,14,0.0,1.0,-9.34811,-57.76036,24.7
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,14,0.0,1.0,-9.34793,-57.69365,609.4
